year,Entity,depression_pct
2008,Morocco,
2008,Morocco,
2009,Morocco,5.707314
2009,Morocco,
2009,Morocco,
2009,Morocco,
2010,Morocco,5.694719
2010,Morocco,
2010,Morocco,
2010,Morocco,
2011,Morocco,5.679566
2011,Morocco,
2011,Morocco,
2011,Morocco,
2012,Morocco,5.652818
2012,Morocco,
2012,Morocco,
2012,Morocco,
2013,Morocco,5.61772
2013,Morocco,
2013,Morocco,
2013,Morocco,
2014,Morocco,5.574992
2014,Morocco,
2014,Morocco,
2014,Morocco,
2015,Morocco,5.526705
2015,Morocco,
2015,Morocco,
2015,Morocco,
2016,Morocco,5.472267
2016,Morocco,
2016,Morocco,
2016,Morocco,
2017,Morocco,5.413573
2017,Morocco,
2017,Morocco,
2017,Morocco,
2018,Morocco,
2018,Morocco,
2019,Morocco,
2019,Morocco,
